Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000038845,Phb,0.047617926978751515,9.302529857535546e-10,7.411158349173941e-08,367,0.05232542712588313,264
ENSMUSG00000037434,Slc30a1,0.04740011771802125,2.123055065084145e-09,1.6240431842997655e-07,752,0.1531775632378918,416
ENSMUSG00000040848,Sft2d2,0.04734599185412114,2.948838062621917e-09,2.2069052998531471e-07,813,0.13905287844589778,465
ENSMUSG00000050982,Apol10a,0.047293265889493376,4.596641511867006e-09,3.367234680388e-07,1913,0.3584899173336769,691
ENSMUSG00000073421,H2-Ab1,0.04726805318519224,5.305161865365449e-09,3.8374744070476096e-07,10171,2.1569981978323383,998
ENSMUSG00000007034,Slc44a4,0.04719794024376672,5.137009706501772e-09,3.7314547817648163e-07,1896,0.30825604344965907,666
ENSMUSG00000024313,Mep1b,0.04712037165427442,5.877462738723693e-09,4.2161649720769797e-07,7588,1.5541045741627408,947
ENSMUSG00000031379,Pir,0.047060635131617824,4.2861270088678793e-11,4.162840658949882e-09,9,0.0011214579576397292,9
ENSMUSG00000050856,Atp5k,0.04698470276912253,6.240984617988943e-09,4.440088151267195e-07,5265,0.9592868237424899,866
ENSMUSG00000059430,Actg2,0.04690798396771775,6.482850478661817e-09,4.59325897848793e-07,4728,0.7993503502896706,761
ENSMUSG00000049493,Pls1,0.04671070090237334,7.652103395372478e-09,5.399574020375486e-07,5903,1.2641602023339766,913
ENSMUSG00000060586,H2-Eb1,0.04658168348366179,7.831656212431426e-09,5.503807829289207e-07,3991,0.8391343758169072,840
ENSMUSG00000020260,Pofut2,0.04633030647727007,6.7429040129241e-10,5.498647385633578e-08,247,0.0512149661145105,195
ENSMUSG00000028277,Ube2j1,0.04614769353543057,5.133851121996713e-10,4.2670201056288065e-08,338,0.15862011874270437,240
ENSMUSG00000002992,Apoc2,0.04606753412788913,1.1349362560864051e-08,7.879830520169386e-07,980,0.12913785455859192,474
ENSMUSG00000044134,Pheta1,0.04601510589016403,6.040274280749713e-09,4.3150521390744236e-07,789,0.17438071692414123,461
ENSMUSG00000019278,Dpep1,0.04576420029360408,1.4836036399401564e-08,1.0018960830970869e-06,3861,0.7407345392501115,824
ENSMUSG00000026558,Uck2,0.04575433525644087,1.088922951808513e-09,8.596027393089304e-08,118,0.017695343224886556,99
ENSMUSG00000021520,Uqcrb,0.04566576425782529,1.52091967908774e-08,1.0230995880182432e-06,3013,0.6051338563382984,787
ENSMUSG00000090137,Uba52,0.04546373304539886,1.6473097996794195e-08,1.0995633906122704e-06,2957,0.5305217056711091,731
ENSMUSG00000031622,Sin3b,0.04542435129011571,4.692322086441436e-09,3.422821275544285e-07,551,0.1270357766114584,359
ENSMUSG00000041515,Irf8,0.04532718408908243,1.6699110982898446e-08,1.1103624256628782e-06,1027,0.14472393212758008,506
ENSMUSG00000030298,Sec13,0.045252832825888815,1.5694501254159832e-08,1.0516532468291286e-06,720,0.10735270825467177,410
ENSMUSG00000028367,Txn1,0.045252460440595964,2.1941649830381493e-08,1.4478139017848674e-06,6604,1.3658901172894373,923
ENSMUSG00000060938,Rpl26,0.04514480684102608,2.225839912384231e-08,1.4631300534334063e-06,3193,0.6375204658556154,801
ENSMUSG00000083649,Rasl2-9,0.04514235086294766,4.128919428580957e-11,4.055724947801567e-09,9,0.002602498433473621,9
ENSMUSG00000064357,mt-Atp6,0.045131176332583935,2.4965311373748023e-08,1.634849632686954e-06,19270,4.5115705803943476,1115
ENSMUSG00000063354,Slc39a4,0.04507605964250491,2.0576249148973602e-08,1.3629202884576845e-06,2138,0.39744343135940324,688
ENSMUSG00000063172,Hspb11,0.04506704905609358,1.180914743770245e-08,8.166261636119998e-07,104,0.011976038327210902,91
ENSMUSG00000041548,Hspb8,0.044979922401873616,1.3231749251829683e-08,9.041520990736425e-07,132,0.012898178460711009,107
