Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000015488,Cacfd1,0.007765630589264061,0.2530906992979183,0.6338689149259915,844,0.2612589265231106,583
ENSMUSG00000024201,Kdm4b,0.007765110064512541,0.25259326981643104,0.6329591511508947,500,0.11170935486138543,382
ENSMUSG00000002963,Pnkp,0.0077649356302358225,0.25110245757754623,0.6302277563222559,705,0.18277063347220907,511
ENSMUSG00000028007,Snx7,0.007757679800501828,0.2531859821874569,0.6340233971990875,666,0.14502866265115943,483
ENSMUSG00000106978,N4bp2os,0.007756559008040647,0.22213954367807753,0.5793153548010387,70,0.012046249115785702,67
ENSMUSG00000062542,Syt9,0.007756495168707423,0.23824042212610785,0.6073988008509025,22,0.0026858901415981705,22
ENSMUSG00000031065,Cdk16,0.007755158231706676,0.25674759248228396,0.6406466969780767,1270,0.29590720247399216,709
ENSMUSG00000028068,Iqgap3,0.007751265023419595,0.2505538492276289,0.6291018737293586,219,0.033401615304924324,198
ENSMUSG00000035575,Utp6,0.007735767270210024,0.2557349838711247,0.6387112390025482,278,0.04518811958978678,235
ENSMUSG00000101517,4732465J04Rik,0.007732970591127482,0.22592781592081979,0.5861861453962345,146,0.03200800885502203,130
ENSMUSG00000032051,Fdx1,0.0077281888621064535,0.2549981936689032,0.6371240620151661,637,0.12850526133160586,458
ENSMUSG00000006241,Ccdc159,0.007727523305859719,0.21371438291185552,0.5657815551391532,11,0.0012136301202759496,11
ENSMUSG00000061731,Ext1,0.007724818289422854,0.25628852895325704,0.6397550274929232,467,0.09848136623983429,364
ENSMUSG00000073435,Nme3,0.007722973702512853,0.2386697296246203,0.6080825179971591,75,0.011348351660227322,72
ENSMUSG00000002718,Cse1l,0.0077180234568670555,0.2529260661735151,0.633624793232615,511,0.1307291856611488,382
ENSMUSG00000006920,Ezh1,0.007716902931837753,0.2573191319613004,0.6416485662716767,684,0.1617486067142438,498
ENSMUSG00000022488,Nckap1l,0.007707009713433333,0.24206506462360178,0.6139590647479044,135,0.032037517974660645,124
ENSMUSG00000074743,Thbd,0.007701787048933545,0.2574367775102919,0.6417723021326064,572,0.12132162520856368,419
ENSMUSG00000030839,Sergef,0.0077000736318141305,0.24179292417033738,0.6136369450127903,75,0.010038824860284117,73
ENSMUSG00000044348,Slc25a53,0.007699156112797798,0.23952742532018956,0.6099383250157431,40,0.004290004754846667,38
ENSMUSG00000027281,Slx4ip,0.007698026999773209,0.24600775887374216,0.6210757830062404,131,0.020990464864587378,122
ENSMUSG00000100680,1810044D09Rik,0.00769674170128195,0.25035224136808876,0.629097941453518,157,0.0315825226512293,141
ENSMUSG00000018372,Cep95,0.007696461344175408,0.2483869832630201,0.6250569066831461,121,0.020385071110351753,114
ENSMUSG00000036281,Snapc4,0.007696237327460081,0.2552716848875025,0.6377229474569422,277,0.05755573836957596,241
ENSMUSG00000032252,Glce,0.007689711659504456,0.2582103155533584,0.64327573860263,833,0.18496285287986935,543
ENSMUSG00000033970,Rfc3,0.007688752477194749,0.25590164541721694,0.639042899335292,356,0.06593664878810944,295
ENSMUSG00000032905,Atg12,0.007686587636545905,0.253438035257858,0.6343178521396104,579,0.13967978416605156,422
ENSMUSG00000034889,Cactin,0.0076859001788519695,0.25353419515737663,0.6344743671650583,427,0.0772004655486123,341
ENSMUSG00000020377,Ltc4s,0.007682586709829166,0.2575103707046029,0.6418709623282897,467,0.10848321281333222,361
ENSMUSG00000025255,Zfhx4,0.007677013333743648,0.19357504386346003,0.5281329529583035,48,0.006274205311849025,40
ENSMUSG00000055725,Paqr3,0.007676132178816172,0.1723183419651837,0.4845158597702329,26,0.005308670656670703,26
ENSMUSG00000022507,1810013L24Rik,0.007674125876158381,0.2571626983529931,0.6413432401827421,853,0.20371088030239018,557
ENSMUSG00000038170,Pde4dip,0.007672867050920966,0.25928780949471397,0.6454736384783231,836,0.2029199627224296,547
ENSMUSG00000021252,Erg28,0.007671903972990451,0.26158673191359005,0.6497143667865645,1779,0.5288618974946517,839
ENSMUSG00000021913,Ogdhl,0.007671002089755323,0.23147507661008992,0.5960141450283974,178,0.03852931328139456,161
ENSMUSG00000026000,Lancl1,0.0076687848545459875,0.2609501390481621,0.6486455241338125,638,0.11245521637101542,458
ENSMUSG00000043621,Ubxn10,0.007667062654713984,0.13389759708692228,0.40160765529059556,16,0.0025331960148793613,16
ENSMUSG00000045464,2810002D19Rik,0.007662287327317678,0.24224777715775514,0.6141304994208897,85,0.012355669292491094,79
ENSMUSG00000029007,Agtrap,0.007658547489774104,0.26105756825506576,0.6487399716774398,408,0.0711774854528605,320
ENSMUSG00000026047,Poglut2,0.007657033684487092,0.24658239110731195,0.6221103272902619,221,0.03463730605678139,195
ENSMUSG00000024018,Ccdc167,0.007656348472968658,0.26232853860880434,0.6510426404063565,384,0.05372729281888823,308
ENSMUSG00000024675,Ms4a4c,0.007655847283129097,0.16717037440493665,0.4744120734142512,27,0.002597775015375758,26
ENSMUSG00000048000,Gigyf2,0.007652975163769998,0.2593533022557497,0.645507116089931,365,0.07223075511318067,302
ENSMUSG00000024793,Tnfrsf25,0.0076516331160173005,0.25047593069851914,0.6291018737293586,76,0.00990321925671316,68
ENSMUSG00000071722,Spin4,0.00764544564281196,0.194697707693134,0.5302100424095681,17,0.0026732909225982006,17
ENSMUSG00000055817,Mta3,0.007627945715490861,0.2624705365652127,0.6512308107656073,389,0.06287371017236827,313
ENSMUSG00000029458,Brap,0.007626590209117596,0.2631158864248677,0.65227370863067,634,0.12521331330534746,451
ENSMUSG00000033278,Ptprm,0.007624314856791188,0.217114331422412,0.5714507350550274,186,0.041637846754859466,170
ENSMUSG00000052298,Cdc42se2,0.007622705516712778,0.2655104504105208,0.6560058516166187,2012,0.5439738371069684,910
ENSMUSG00000048756,Foxo3,0.007621482943383693,0.26398529575158425,0.6533497567597906,1432,0.3241419846863418,751
ENSMUSG00000025226,Fbxl15,0.007620075731271713,0.24848118783044115,0.625145537756346,323,0.06530105008403381,270
ENSMUSG00000052928,Ctif,0.007619840234028903,0.2546354940826969,0.6366260443134951,113,0.014988217430930076,101
ENSMUSG00000021280,Exoc3l4,0.0076116676197405565,0.2663622898439415,0.6574218504990624,1414,0.29587725125434566,755
ENSMUSG00000033701,Acbd6,0.007611426036438192,0.2593796679312024,0.645507116089931,570,0.12558362471038162,403
ENSMUSG00000028885,Smpdl3b,0.007610596864754882,0.26221708171546654,0.6508516331082792,441,0.09043420258744689,360
ENSMUSG00000042650,Alkbh5,0.007610336216186499,0.2656501296136775,0.6562650295470648,869,0.208333770746986,572
ENSMUSG00000020532,Acaca,0.007602526287502803,0.2592588826144009,0.6454736384783231,465,0.11149310715488016,370
ENSMUSG00000025423,Pias2,0.007601158041211101,0.2483712363564914,0.6250569066831461,279,0.07885867915956071,237
ENSMUSG00000034463,Scara3,0.007600379505157813,0.2450359272641034,0.6191192972076014,83,0.010525350484347051,79
ENSMUSG00000019831,Wasf1,0.007598261707883553,0.25612618618606975,0.63951898996228,78,0.011871623667823393,71
ENSMUSG00000031669,Gins3,0.007594698733903938,0.2284335161198192,0.5908517561197095,49,0.01011806445390052,47
ENSMUSG00000033233,Trim45,0.0075914538902839635,0.23528987730036444,0.6027060455436792,47,0.006228443329355251,46
ENSMUSG00000060675,Plaat3,0.0075882325090171,0.2662682660467932,0.6572757603397359,880,0.18828489492231903,544
ENSMUSG00000019845,Tube1,0.007584308337695316,0.24680670691287476,0.6225097918378604,39,0.003924568683657274,38
ENSMUSG00000027164,Traf6,0.007584055371802308,0.26002964332778733,0.6468687330193829,179,0.03082935170298956,160
ENSMUSG00000074733,Zfp950,0.007582537570484504,0.2673173859220306,0.6590894753642749,571,0.11030882782411446,438
ENSMUSG00000051504,Siglech,0.0075821638209296665,0.09651081251226223,0.31279709541833123,6,0.0009746937959648107,6
ENSMUSG00000022018,Rgcc,0.007580317689196329,0.24619461341265803,0.621464369295444,203,0.03901493763806757,171
ENSMUSG00000040359,Ufl1,0.007578177402354651,0.25929779954770726,0.6454736384783231,301,0.049952225335468205,254
ENSMUSG00000039275,Foxk2,0.0075771903304829415,0.26277325157584275,0.6518890986043356,447,0.0737491978442973,348
ENSMUSG00000032537,Ephb1,0.00757551634139127,0.2208384542390891,0.5770265422065233,9,0.0013275302414081074,9
ENSMUSG00000076437,Selenoh,0.007571445133723945,0.2596245029695847,0.6459460372538363,570,0.18147286884495464,409
ENSMUSG00000042797,Aqp11,0.007570497388664678,0.26090422640501454,0.6486168442735467,468,0.12258623183692709,373
ENSMUSG00000025730,Rab40c,0.0075702454916291,0.2675440070585027,0.6594713202838668,652,0.12368574327170268,480
ENSMUSG00000024350,Dnajc18,0.007568007260203717,0.25481784800596796,0.6367577769864401,215,0.04594487584819086,183
ENSMUSG00000035632,Cnot3,0.007567002615255838,0.2661119618306995,0.6571478350717798,835,0.22919194998428297,561
ENSMUSG00000024941,Scyl1,0.007565854117258011,0.2644339036550676,0.654267780942427,608,0.15437797641958337,460
ENSMUSG00000032305,Fam219b,0.007565726132079003,0.25916729805158156,0.6454042163039847,215,0.036870943512344045,188
ENSMUSG00000023918,Adgrf4,0.007561835436839915,0.16008841517042605,0.4606142582877049,3,0.00036469621752499196,3
ENSMUSG00000048922,Cdca2,0.007561079348397675,0.21746086930602626,0.5717678265404337,126,0.03415674372348203,111
ENSMUSG00000020752,Recql5,0.0075538314679688395,0.2611161328309124,0.6487399716774398,276,0.04734434346477693,232
ENSMUSG00000041977,Arhgef11,0.007551429120429401,0.26806610987700186,0.6603315179202544,448,0.07797164114597396,348
ENSMUSG00000040264,Gbp2b,0.007548761106854377,0.2456899455541679,0.6204394516410057,94,0.012176344493958767,90
ENSMUSG00000048911,Rnf24,0.007538366388789521,0.26581597239677146,0.6565887659581988,458,0.09346346644878167,352
